model,cv_auc_mean,cv_auc_std,cv_brier_mean,cv_brier_std,cv_logloss_mean,cv_logloss_std
Ridge Logistic (Lec 04+05),0.655475779742195,0.03101436623640536,0.13631604095739658,0.002047060706029099,0.4431205150957738,0.009884615620168914
RFF Kernel Logistic (Lec 06),0.6238571312618022,0.012989476801709768,0.14176168310204565,0.0034434607102933118,0.4651755830776656,0.013376807594877905
XGBoost (production),0.6140215447871384,0.03284921997243128,0.14058483019471169,0.004903650292917943,0.4563936005578504,0.015079665002396036
